Non symb;Nom court - FR;Nom court - NL;Nom long - FR;Nom long - NL;GPS_LATITUDE;GPS_LONGITUDE
FLS;AALST;AALST;AALST;AALST;50,943053;4,038586
FLSKB;AALST-KERREB;AALST-KERREB;AALST-KERREBROEK;AALST-KERREBROEK;50,948316;4,024773
FLT;AALTER;AALTER;AALTER;AALTER;51,092258;3,447856
FRST;AARSCHOT;AARSCHOT;AARSCHOT;AARSCHOT;50,984408;4,824036
FAR;AARSELE;AARSELE;AARSELE;AARSELE;50,984458;3,418361
FXA;ACREN;ACREN;ACREN;ACREN;50,732936;3,846683
BL8.7;AIGREMONT;AIGREMONT;AIGREMONT-BLOCK 8.7;AIGREMONT-BLOCK 8.7;50,587809;5,425317
FAO;AISEAU;AISEAU;AISEAU;AISEAU;50,429545;4,584378
MAI;AISEMONT;AISEMONT;AISEMONT;AISEMONT;50,40438;4,62883
ALSKA;ALASKA;ALASKA;ANTWERPEN-D.S.-ALASKA;ANTWERPEN-D.S.-ALASKA;51,25;4,373335
FAK;ALKEN;ALKEN;ALKEN;ALKEN;50,886419;5,29173
NM;AMAY;AMAY;AMAY;AMAY;50,546006;5,320489
NMG;AMAY-GARAGE;AMAY-GARAGE;AMAY-GARAGE;AMAY-GARAGE;50,5451;5,31863
NA;AMPSIN;AMPSIN;AMPSIN;AMPSIN;50,539236;5,288855
NDN;ANDENNE;ANDENNE;ANDENNE;ANDENNE;50,496799;5,095972
NDNM;ANDENNE-M;ANDENNE-M;ANDENNE-MARCHANDISES;ANDENNE-MARCHANDISES;50,49732;5,1015
MGR;ANGLEUR;ANGLEUR;ANGLEUR;ANGLEUR;50,61253;5,600949
ANGOL;ANGOLA;ANGOLA;ANTWERPEN-D.S.-ANGOLA;ANTWERPEN-D.S.-ANGOLA;51,272332;4,365991
ANS;ANS;ANS;ANS;ANS;50,661214;5,509703
MNS;ANSEREMME;ANSEREMME;ANSEREMME;ANSEREMME;50,238016;4,905525
FNT;ANTOING;ANTOING;ANTOING;ANTOING;50,569628;3,451308
FNTQS;ANTOING-QUAI;ANTOING-QUAI;ANTOING-QUAI DE SERVICE;ANTOING-QUAI DE SERVICE;50,558502;3,46142
FNZCH;ANT-SCH-CARW;ANT-SCH-CARW;ANTWERPEN-SCHIJNPOORT-CARWASH;ANTWERPEN-SCHIJNPOORT-CARWASH;51,222878;4,443562
FCV;ANTW-BERCHEM;ANTW-BERCHEM;ANTWERPEN-BERCHEM;ANTWERPEN-BERCHEM;51,198914;4,4332
FNDM;ANTW-DAM;ANTW-DAM;ANTWERPEN-DAM;ANTWERPEN-DAM;51,231782;4,426479
BASF;ANTW-DS-BASF;ANTW-DS-BASF;ANTWERPEN-D.S.-BASF;ANTWERPEN-D.S.-BASF;51,366231;4,267725
FN;ANTWERPEN-C;ANTWERPEN-C;ANTWERPEN-CENTRAAL;ANTWERPEN-CENTRAAL;51,21686;4,421242
FNH;ANTW-HAVEN;ANTW-HAVEN;ANTWERPEN-HAVEN;ANTWERPEN-HAVEN;51,289104;4,389299
FNKL;ANTW-KIEL;ANTW-KIEL;ANTWERPEN-KIEL;ANTWERPEN-KIEL;51,190933;4,365115
FNDA1;ANTW-ND-A1;ANTW-ND-A1;ANTWERPEN-NOORD-BUNDEL A1;ANTWERPEN-NOORD-BUNDEL A1;51,293414;4,393632
FNDA2;ANTW-ND-A2;ANTW-ND-A2;ANTWERPEN-NOORD-BUNDEL A2;ANTWERPEN-NOORD-BUNDEL A2;51,297992;4,375861
FNDL9;ANTW-ND-B.L9;ANTW-ND-B.L9;ANTWERPEN-NOORD-BLOK L9;ANTWERPEN-NOORD-BLOK L9;51,293955;4,382757
FNDB1;ANTW-ND-B1;ANTW-ND-B1;ANTWERPEN-NOORD-BUNDEL B1;ANTWERPEN-NOORD-BUNDEL B1;51,300905;4,35431
FNDB2;ANTW-ND-B2;ANTW-ND-B2;ANTWERPEN-NOORD-BUNDEL B2;ANTWERPEN-NOORD-BUNDEL B2;51,296743;4,372744
FNDB3;ANTW-ND-B3;ANTW-ND-B3;ANTWERPEN-NOORD-BUNDEL B3;ANTWERPEN-NOORD-BUNDEL B3;51,292624;4,391643
FND10;ANTW-ND-BL10;ANTW-ND-BL10;ANTWERPEN-NOORD-BLOK 10;ANTWERPEN-NOORD-BLOK 10;51,302792;4,346908
RBL9J;ANTW-ND-BL9J;ANTW-ND-BL9J;ANTWERPEN-NOORD-BL.9-ROOSTER J;ANTWERPEN-NOORD-BL.9-ROOSTER J;51,291268;4,374525
FNDC1;ANTW-ND-C1;ANTW-ND-C1;ANTWERPEN-NOORD-BUNDEL C1;ANTWERPEN-NOORD-BUNDEL C1;51,288856;4,390068
