NL.NS.ATN;Aalten;51.92154; 6.57871;
NL.NS.AC;Abcoude;0.0; 0.0;
NL.NS.ADH;Achter de Hoven;53.198999;5.816794;
NL.NS.AKM;Akkrum;53.04799; 5.8431;
NL.NS.AMR;Alkmaar;52.6383; 4.74073;
NL.NS.AMRN;Alkmaar Noord;52.64409; 4.76381;
NL.NS.AML;Almelo;52.35723; 6.65548;
NL.NS.AMRI;Almelo De Riet;52.34256; 6.66618;
NL.NS.ALM;Almere Centrum;52.3754; 5.21884;
NL.NS.ALMB;Almere Buiten;52.39466; 5.27839;
NL.NS.ALMM;Almere Muziekwijk;52.36789; 5.19047;
NL.NS.ALMO;Almere Oostvaarders;52.403113;5.299959;
NL.NS.ALMP;Almere Parkwijk;52.37706; 5.24448;
NL.NS.ALMS;Almere Strand;52.332382;5.148189;
NL.NS.APN;Alphen a/d Rijn;52.12492; 4.65724;
NL.NS.AMF;Amersfoort;52.15396; 5.37396;
NL.NS.AMFS;Amersfoort Schothorst;52.17563; 5.40494;
NL.NS.AVAT;Amersfoort Vathorst;52.192612;5.433622;
NL.NS.ASD;Amsterdam Centraal;52.3791; 4.90032;
NL.NS.ASD;Amsterdam cs;52.3791; 4.90032;
NL.NS.ASA;Amsterdam Amstel;52.34609; 4.91797;
NL.NS.ASDAR;Amsterdam ArenA;52.311809;4.947179;
NL.NS.ASB;Amsterdam Bijlmer ArenA;52.31177; 4.94766;
NL.NS.ASHD;Amsterdam Holendrecht;52.298021;4.959984;
NL.NS.ASDL;Amsterdam Lelylaan;52.35812; 4.8339;
NL.NS.ASDM;Amsterdam Muiderpoort;52.36117; 4.93108;
NL.NS.RAI;Amsterdam RAI;52.33754; 4.88951;
NL.NS.ASS;Amsterdam Sloterdijk;52.3895; 4.83804;
NL.NS.ASDZ;Amsterdam Zuid;52.33912; 4.87317;
NL.NS.ASSP;Amsterdam Science Park;52.3530; 4.9494;
NL.NS.ANA;Anna Paulowna;52.86796; 4.81119;
NL.NS.APD;Apeldoorn;52.20943; 5.97031;
NL.NS.APDM;Apeldoorn De Maten;52.205125;6.00067;
NL.NS.APDO;Apeldoorn Osseveld;52.215837;6.005938;
NL.NS.APG;Appingedam;53.32614; 6.86199;
NL.NS.AKL;Arkel;51.87235; 4.993;
NL.NS.ARN;Arnemuiden;51.50185; 3.66974;
NL.NS.AH;Arnhem;51.984765;5.90152;
NL.NS.AHPR;Arnhem Presikhaaf;51.98783; 5.94277;
NL.NS.AHP;Arnhem Velperpoort;51.98526; 5.92029;
NL.NS.AHZ;Arnhem Zuid;51954822; 5.852087;
NL.NS.ASN;Assen;52.99225; 6.57105;
NL.NS.BRN;Baarn;52.20801; 5.28203;
NL.NS.BF;Baflo;53.36108; 6.51887;
NL.NS.BRD;Barendrecht;51.8551; 4.55269;
NL.NS.BNC;Barneveld Centrum;52.14083; 5.58984;
NL.NS.BNN;Barneveld Noord;52.16107; 5.59876;
NL.NS.BDM;Bedum;53.30727; 6.593;
NL.NS.BK;Beek-Elsloo;50.94734; 5.78574;
NL.NS.BSD;Beesd;51.89967; 5.19478;
NL.NS.BL;Beilen;52.85518; 6.52123;
NL.NS.BGN;Bergen op Zoom;51.49549; 4.29608;
NL.NS.BET;Best;51.50975; 5.38926;
NL.NS.BV;Beverwijk;52.47821; 4.65558;
NL.NS.BHV;Bilthoven;52.13016; 5.20408;
NL.NS.BR;Blerick;51.37254; 6.1556;
NL.NS.BLL;Bloemendaal;52.4047; 4.6277;
NL.NS.BDG;Bodegraven;52.08179; 4.74603;
